,Odorant,Odor,CAS No.
357,camphene hydrate,camphor,465-31-6
358,pinocarveol,flower,4955-29-7
359,ethylphenol,must,620-17-7
360,l-menthol,peppermint,2216-51-5
361,ethylbenzaldehyde,sweet,4748-78-1
362,isoborneol,"must, camphor",124-76-5
363,butylmethoxypyrazine,"carrot, earth",24168-70-5
364,phenylethylthiol,rubber,4410-99-5
365,(epoxymethylbutyl)-methylfuran,"green, earth, citrus",92356-06-4
366,(Z)-3-hexenyl butanoate,"wine, green",16491-36-4
367,ethenyl-ethylmethylpyrazine,earth,181589-32-2
368,S-(2-furfuryl)-ethanethioate,roast,13678-68-7
369,epoxy-2-octenal,metal,134452-45-2
370,methylisoborneol,"earth, must",2371-42-8
371,dimethyloctadienal,green,72203-98-6
372,hexyl butanoate,apple peel,2639-63-6
373,ethyl benzoate,"camomile, flower, celery, fruit",93-89-0
374,lavandulol,herb,498-16-8
375,dill ether,dill,74410-10-9
376,2-nonanol,cucumber,628-99-9
377,(Z)-3-hexenyl-2-methylbutanoate,"herb, sweet",53398-85-9
378,4-acetyltoluene,bitter almond,122-00-9
379,pentylpyridine,fat,2294-76-0
380,isobutylmethoxypyrazine,"earth, spice, green pepper",24683-00-9
381,butyl hexanoate,fruit,626-82-4
382,o-cresol,phenol,95-48-7
383,abhexone,spice,698-10-2
384,nitro-phenylethane,"flower, spice",6125-24-2
385,dihydrocarveol,"mint, spice",619-01-2
386,(Z)-dihydrocarvone,"herb, warm",3792-53-8
387,"(E,Z)-2,4-nonadienal","geranium, pungent",21661-99-4
388,carveol,"fresh, spearmint, caraway",99-48-9
389,borneol,camphor,507-70-0
390,ethyl octanoate,"fruit, fat",106-32-1
391,1-terpinen-4-ol,"turpentine, nutmeg, must",562-74-3
392,neoisomenthol,menthol,491-02-1
393,(Z)-4-decenal,"green, must",21662-09-9
394,"2,4-nonadienal",watermelon,04/03/50
395,estragole,"licorice, anise",140-67-0
396,ethyl octenoate,"must, oil, fruit, pungent",2351-90-8
397,(E)-dihydrocarvone,"warm, herb",09/04/48
398,6-decenal,"tallow, green",105683-99-6
399,decanal,"soap, orange peel, tallow",112-31-2
400,6-decenal,cucumber,147159-48-6
401,dimethyl tetrasulfide,"cabbage, sulfur",5756-24-1
402,linalool oxide,"flower, wood",1365-19-1
403,isodihydrocarveol,"wood, spice",18675-35-9
404,naphthalene,tar,91-20-3
405,isobutyric acid,"rancid, butter, cheese",79-31-2
406,dodecane,alkane,112-40-3
407,"2,4-nonadienal","fat, wax, green",5910-87-2
408,p-cymenol,"citrus, must",1197-01-9
409,(E)-carveol,"caraway, solvent",1197-07-5
410,(Z)-piperitol,herb,491-04-3
411,linalyl formate,"citrus, coriander",115-99-1
412,methyl nonanoate,coconut,1731-84-6
413,(-)-carvone,mint,6485-40-1
414,diethyl malonate,apple,105-53-3
415,syntexan,garlic,67-68-5
416,furfurylmethyldisulphide,smoke,57500-00-2
417,(Z)-carveol,caraway,1197-06-4
418,myrtenal,spice,23727-16-4
419,piperitol,herb,16721-39-4
420,methyl salicylate,peppermint,119-36-8
421,epoxy-p-menthene,"mint, dill",13955-48-1
422,Î³-octalactone,coconut,104-50-7
423,hexyl methylbutyrate,strawberry,10032-15-2
424,benzothiazole,"gasoline, rubber",95-16-9
425,phenyl cyanide,rancid,100-47-0
426,3-mercaptohexyl-acetate,box tree,136954-20-6
427,piperitone,"mint, fresh",89-81-6
428,isobornyl formate,"green, earth, camphor",1200-67-5
429,citronellol,rose,106-22-9
430,dihydromethylcyclopentapyrazine,"roast, nut",23747-48-0
431,neral,lemon,106-26-3
432,chavicol,"medicine, phenol",501-92-8
433,Î²-cyclocitral,mint,432-25-7
434,2-decenal,tallow,2497-25-8
435,2-decenal,orange,3913-71-1
436,Î²-phenethyl acetate,"rose, honey, tobacco",103-45-7
437,2-decenal,tallow,3913-81-3
438,nerol,sweet,106-25-2
439,(R)-linden ether,mint,125811-37-2
440,ethyl phenylacetate,"fruit, sweet",101-97-3
441,hydrocinnamic alcohol,"cinnamon, anise, fruit",122-97-4
442,methylnonanedione,"straw, fruit",113486-29-6
443,DL-carvone,"mint, basil, fennel",99-49-0
444,phenylacetic acid,"honey, flower",103-82-2
445,citral,lemon,5392-40-5
446,isogeraniol,rose,5944-20-7
447,(+)-carvone,caraway,2244-16-8
448,bornyl formate,green,7492-41-3
449,p-anisyl alcohol,flower,105-13-5
450,sulfurol,sulfur,137-00-8
451,cumin aldehyde,"acid, sharp",122-03-2
452,linalyl acetate,"sweet, fruit",115-95-7
453,perilla aldehyde,spice,2111-75-3
454,p-anisaldehyde,"mint, sweet",123-11-5
455,decanol,fat,112-30-1
456,o-aminoacetophenone,"foxy, sweet",551-93-9
457,isopulegyl acetate,"mint, leaf",89-49-6
458,geranial,"lemon, mint",141-27-5
459,geraniol,"rose, geranium",106-24-1
460,nonanoic acid,"green, fat",112-05-0
461,benzoic acid,urine,65-85-0
462,epoxy-2-nonenal,metal,128386-31-2
463,octanoic acid,"sweat, cheese",124-07-2
464,safrole,"spice, sweet, warm",94-59-7
465,p-menthenethiol,grapefruit,71159-90-5
466,(E)-cinnamaldehyde,"cinnamon, paint",14371-10-9
467,"2,4-decadienal",seaweed,65909-91-3
468,4-ethylguaiacol,"spice, clove",2785-89-9
469,5-octanolide,peach,698-76-0
470,methyl quinoxaline,"roast, nut, fruit",7251-61-8
471,indole,"mothball, burnt",120-72-9
472,"1,3-p-menthadien-7-al","fat, spice",1197-15-5
473,undecanone,"orange, fresh, green",112-12-9
474,decadienal,"fried, fat",25152-83-4
475,dihydroterpinyl acetate,"pine, citrus",58985-18-5
476,Î³-butyrolactone,"caramel, sweet",96-48-0
477,(Z)-Î²-Farnesene,"citrus, green",28973-97-9
478,safranal,"herb, sweet",116-26-7
479,methyl geranate,"flower, green, fruit",1189-09-9
480,nonyl acetate,"sweet, fruit",143-13-5
481,decadienal,"fried, wax, fat",25152-84-5
482,undecanaldehyde,"oil, pungent, sweet",112-44-7
483,Î±-terpineol,"oil, anise, mint",98-55-5
484,ethyl undecanoate,"cognac, coconut",627-90-7
485,isopentyldimethylpyrazine,fruit,18433-98-2
486,cinnamyl alcohol,oil,104-54-1
487,tridecane,alkane,629-50-5
488,perillaldehyde,fat,18031-40-8
489,(E)-oak lactone,"coconut, flower",39638-67-0
490,hydrocinnamic acid,balsamic,501-52-0
491,4-hexanolide,"coumarin, sweet",695-06-7
492,p-vinylguaiacol,"clove, curry",7786-61-0
493,methyl decanoate,wine,110-42-9
494,p-mentha-dien-hydroperoxide,turpentine,32495-14-0
